week_start_date,ndvi_ne,ndvi_nw,ndvi_se,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_diur_temp_rng_c,station_max_temp_c,station_precip_mm,total_cases
1991-01-15,0.2697,0.2935667,0.25994290000000003,0.0,297.422857143,27.4,78.5,2.0,6.57142857143,29.4,16.5,26
1991-01-22,0.3313,0.30933330000000003,0.22102860000000002,0.0,297.88428571400004,0.7,71.5971428571,2.55714285714,7.77142857143,29.4,6.8,34
1991-01-29,0.0917,0.246425,0.2438571,0.0,298.044285714,5.7,71.7842857143,2.77142857143,8.15714285714,30.0,5.9,37
1991-02-05,0.3801,0.22856669999999998,0.2550429,0.0,297.74,19.69,75.7942857143,2.4285714285699997,6.885714285710001,30.0,7.3,17
1991-02-12,0.0712,0.2211,0.2762429,18.05,296.88428571400004,21.4,78.8957142857,3.2,8.87142857143,32.2,5.6,19
1991-02-19,0.1207,0.2094,0.10843330000000001,0.0,297.414285714,26.2,79.74,2.5714285714300003,8.47142857143,32.2,17.8,25
1991-02-26,0.1702,0.2086,0.13752,31.79,297.505714286,23.8,77.9771428571,2.1142857142900002,7.2,30.6,30.7,18
1991-03-05,0.21075,0.2641,0.2476857,0.0,297.777142857,8.3,77.3157142857,2.2428571428599997,8.31428571429,31.1,10.9,21
1991-03-12,0.169325,0.22125,0.21325,0.0,297.43142857099997,13.37,78.1385714286,2.72857142857,8.97142857143,31.7,3.6,17
1991-03-19,0.1279,0.1784,0.1470143,0.0,297.407142857,11.1,77.8828571429,2.54285714286,6.97142857143,32.2,5.7,17
1991-03-26,0.28035,0.223575,0.2478833,0.0,297.47,21.26,80.0014285714,2.75714285714,6.58571428571,32.2,26.9,16
1991-04-02,0.1691,0.216825,0.2605143,12.92,297.064285714,20.9,75.6628571429,2.2857142857099997,6.81428571429,28.9,4.1,16
1991-04-09,0.1765,0.2763,0.18453329999999998,6.0,297.372857143,19.78,79.6285714286,2.62857142857,6.514285714290001,28.9,18.8,15
1991-04-16,0.0774,0.1024,0.16355,44.57,297.284285714,21.9,73.3514285714,2.01428571429,6.27142857143,29.4,19.4,23
1991-04-23,0.14328334999999998,0.18845,0.1883143,32.72,298.07428571400004,19.7,78.4471428571,2.3,8.014285714289999,32.8,3.5,16
1991-04-30,0.20916669999999998,0.160575,0.1761714,0.0,298.831428571,8.38,79.36,2.8,7.714285714289999,32.2,2.8,17
1991-05-07,0.11595,0.180175,0.1063857,35.38,298.638571429,20.6,79.5414285714,2.41428571429,6.92857142857,31.7,40.2,12
1991-05-14,0.091425,0.10455,0.15115,4.16,298.325714286,35.37,80.0671428571,2.5,6.58571428571,30.6,32.8,17
1991-05-21,0.0669,0.1335667,0.09711667,51.16,298.58428571400003,59.3,81.30142857140001,1.8571428571400002,6.7,31.7,3.6,10
1991-05-28,0.1401,0.15946670000000002,0.2143167,55.37,298.80857142900004,43.4,81.08857142859999,2.1428571428599996,7.014285714289999,33.3,5.6,15
1991-06-04,0.08585,0.087,0.1196,8.08,299.518571429,5.0,76.0742857143,2.87142857143,7.5,33.3,20.6,19
1991-06-11,0.1091,0.15646670000000001,0.17342860000000002,6.09,299.891428571,5.82,77.0357142857,2.4,7.97142857143,33.9,9.4,21
1991-06-18,0.0596,0.09235,0.1301286,44.25,299.775714286,17.0,81.4214285714,2.17142857143,7.1428571428600005,33.9,3.3,14
1991-06-25,0.07965,0.122,0.18511429999999998,73.76,299.41,37.8,82.7457142857,2.04285714286,7.4,32.8,12.4,18
1991-07-02,0.08827499999999999,0.1779333,0.2015286,26.7,299.37142857099997,51.99,81.69428571430001,2.1428571428599996,6.6,32.8,24.7,13
1991-07-09,0.0969,0.127633315,0.13805,6.13,300.00142857099996,18.7,77.8771428571,2.4285714285699997,6.67142857143,32.8,4.6,14
1991-07-16,0.0885,0.07733333,0.09982857,29.67,300.234285714,23.6,78.24142857140001,2.4285714285699997,6.914285714289999,33.9,12.2,18
1991-07-23,0.0801,0.00805,0.1380333,56.58,299.80857142900004,27.4,81.4828571429,2.2428571428599997,5.88571428571,32.8,43.1,23
1991-07-30,0.076625,0.060225,0.19064289999999998,48.41,299.852857143,34.39,81.8971428571,2.3,6.34285714286,33.3,18.0,25
1991-08-06,0.07315,0.1124,0.19258570000000003,13.29,299.831428571,31.5,81.96,2.2428571428599997,6.514285714290001,32.8,12.5,62
1991-08-13,0.0593,0.10527,0.1551,0.0,300.42,20.4,79.1971428571,2.1857142857099996,5.47142857143,33.3,3.3,60
1991-08-20,0.0569,0.09813999999999999,0.1285143,51.88,300.31142857099996,25.47,80.2557142857,2.4,7.514285714289999,34.4,1.5,76
1991-08-27,0.0693,0.05705,0.22504000000000002,55.2,300.11714285700003,23.8,81.5942857143,2.37142857143,7.0,32.2,10.7,66
1991-09-03,0.10805,0.091675,0.1398,65.9,300.10571428599997,42.33,82.31,2.12857142857,7.54285714286,34.4,27.2,64
1991-09-10,0.10475,0.15983329999999998,0.11208,33.56,300.54,11.4,78.6271428571,3.04285714286,7.7,33.9,61.0,68
1991-09-17,0.1098,0.1527333,0.16857139999999998,29.53,300.527142857,28.8,80.8771428571,2.45714285714,6.8,33.3,7.9,89
1991-09-24,0.1676,0.1489,0.17142860000000001,73.55,300.06,77.5,81.4242857143,2.0714285714300003,6.68571428571,32.8,31.8,92
1991-10-01,0.1291,0.16672,0.177,31.68,299.65,60.0,82.4857142857,2.04285714286,6.914285714289999,32.8,26.5,140
1991-10-08,0.09300000000000001,0.09300000000000001,0.1450833,32.1,299.562857143,55.1,80.5157142857,2.2571428571400003,6.61428571429,31.7,8.3,116
1991-10-15,0.0137,0.12886,0.10904289999999998,3.29,299.897142857,31.19,79.3828571429,2.3,7.62857142857,33.9,21.3,142
1991-10-22,0.1944,0.1186,0.18081429999999998,50.24,299.891428571,12.6,76.7771428571,2.8142857142900004,7.085714285710001,32.8,3.5,129
1991-10-29,0.094,0.09665,0.1255667,72.61,299.905714286,26.83,78.9871428571,3.04285714286,7.25714285714,32.8,4.8,140
1991-11-05,0.0544,0.05475,0.1121333,42.92,299.09,74.83,81.05857142859999,2.9,6.75714285714,32.2,41.4,140
1991-11-12,0.0954,0.1114,0.19494289999999997,78.73,298.685714286,72.7,83.5142857143,1.9714285714300002,6.74285714286,31.1,28.2,127
1991-11-19,0.00825,0.028425,0.13874289999999997,0.0,298.698571429,15.1,75.5485714286,2.27142857143,6.81428571429,30.0,9.4,129
1991-11-26,0.08786667,0.1519,0.1796286,35.34,298.375714286,78.43,81.4857142857,2.02857142857,6.58571428571,30.0,76.2,169
1991-12-03,0.0802,0.14025,0.13362860000000001,0.0,298.642857143,35.1,80.27571428569999,1.8,6.05714285714,30.6,19.6,141
1991-12-10,-0.02665,0.2128,0.2224143,0.0,298.518571429,26.8,78.6214285714,2.01428571429,5.8571428571399995,29.4,34.2,108
1991-12-17,0.04845,0.04613333,0.1144,0.0,298.08428571400003,8.76,72.8614285714,2.0714285714300003,6.15714285714,28.9,6.1,78
1991-12-24,0.12355,0.1237,0.13793329999999998,0.0,296.521428571,19.3,76.1271428571,2.2142857142900003,6.18571428571,28.3,13.7,70
1992-01-08,0.10083330000000001,0.073575,0.13871429999999998,200.85,297.912857143,18.3,81.3,2.3,7.5,30.6,58.2,104
1992-01-15,0.2224,0.2299,0.19845710000000003,3.12,297.338571429,19.8,84.1171428571,1.8571428571400002,6.17142857143,31.1,32.3,90
1992-01-22,0.12253330000000001,0.13105,0.18884289999999998,0.0,297.091428571,5.11,78.2914285714,2.3571428571400004,7.44285714286,30.6,1.3,85
1992-01-29,0.11206665,0.0483,0.1736714,0.0,297.42,6.5,75.22,2.44285714286,6.58571428571,28.9,9.2,55
1992-02-05,0.1016,0.0846,0.11171669999999999,0.0,296.92,16.2,77.05857142859999,3.4,7.3571428571399995,30.6,3.0,53
1992-02-12,0.10341666666666667,0.1305,0.1957429,0.0,297.798571429,20.1,82.8757142857,2.2,6.57142857143,32.2,1.3,65
1992-02-19,0.10523333333333333,0.1844667,0.1946143,0.0,297.898571429,4.4,77.2957142857,2.58571428571,7.385714285710001,33.9,8.9,33
1992-02-26,0.10705,0.0815,0.1652429,0.0,297.472857143,14.4,76.0371428571,2.41428571429,6.17142857143,29.4,16.0,38
1992-03-04,0.09695000000000001,0.18218,0.19108570000000002,0.0,297.651428571,5.5,76.8785714286,2.3142857142900004,7.814285714289999,31.1,2.9,59
1992-03-11,0.08685,0.09015,0.128,23.22,297.63428571400004,12.6,78.0571428571,2.51428571429,7.75714285714,31.7,5.9,40
1992-03-18,0.05305,0.08405,0.1417714,0.0,297.947142857,3.56,77.5057142857,2.7,7.8571428571399995,31.1,4.8,37
1992-03-25,0.0765,0.08085,0.1348429,0.0,297.218571429,21.0,80.2385714286,2.8,5.71428571429,32.2,2.3,29
1992-04-01,0.09995,0.07765,0.1930667,122.27,297.982857143,16.2,78.0671428571,2.74285714286,7.52857142857,31.1,24.1,30
1992-04-08,0.1039,0.1315,0.1224714,43.21,298.682857143,11.1,76.3757142857,3.6142857142900002,7.84285714286,32.8,0.0,30
1992-04-15,0.07515,0.09743333,0.1590286,83.11,297.831428571,70.6,84.1842857143,2.1428571428599996,5.88571428571,31.7,24.5,28
1992-04-22,0.0922,0.1137,0.15141429999999997,36.16,298.088571429,25.8,78.4257142857,2.82857142857,7.24285714286,31.7,4.6,23
1992-04-29,0.0125,0.0635,0.07031429,0.0,298.197142857,4.0,74.9328571429,3.6142857142900002,6.5,33.9,1.6,24
1992-05-06,0.10875,0.2169,0.1823286,13.92,298.335714286,45.0,78.48,3.0,6.914285714289999,33.9,32.0,29
1992-05-13,0.101875,-0.0088,0.14206670000000002,2.94,298.33428571400003,27.5,78.38142857140001,2.22857142857,5.95714285714,31.1,8.1,26
1992-05-20,0.1024,0.0686,0.06238333,71.85,298.408571429,570.5,85.6471428571,2.7142857142900003,6.77142857143,32.8,22.1,23
1992-05-27,0.1215,0.10427499999999999,0.2191571,186.25,298.61571428599996,130.3,87.3014285714,2.3571428571400004,5.95714285714,31.7,80.2,20
1992-06-03,0.12165,0.13995,0.1100857,42.24,299.104285714,50.0,85.8271428571,2.1142857142900002,6.914285714289999,31.7,103.9,19
1992-06-10,0.08395,0.0856,0.10237139999999999,43.21,298.901428571,43.8,84.87,1.9857142857099999,6.87142857143,32.8,102.4,20
1992-06-17,0.10445,0.15315,0.18115710000000002,52.07,298.93142857099997,37.1,84.2485714286,2.0,6.74285714286,32.8,29.8,26
1992-06-24,0.1302,0.1302,0.13938,52.96,299.56857142900003,33.7,82.7771428571,1.72857142857,7.02857142857,32.8,5.4,29
1992-07-01,0.1194,0.1439,0.1693286,10.74,300.17714285700004,10.0,79.33428571430001,2.27142857143,6.6428571428600005,33.3,3.1,31
1992-07-08,0.1157,0.192,0.14685710000000002,1.86,300.285714286,5.4,78.4971428571,2.7857142857099997,6.61428571429,32.8,1.8,28
1992-07-15,0.11199999999999999,0.1255,0.14214000000000002,94.14,299.79,46.1,80.15,2.0,6.04285714286,31.7,45.2,26
1992-07-22,-0.1396,0.059179999999999996,0.13712860000000002,33.51,299.227142857,69.04,81.9842857143,2.02857142857,6.8571428571399995,31.7,41.0,32
1992-07-29,0.0539,0.1261333,0.13377139999999998,31.12,299.025714286,58.8,82.3457142857,1.8142857142900002,6.92857142857,32.2,14.2,35
1992-08-05,0.152675,0.173275,0.15004289999999998,59.22,299.755714286,27.1,80.7842857143,2.4285714285699997,6.1,31.7,16.6,33
1992-08-12,0.16395,0.12665,0.2150571,65.55,299.215714286,81.8,82.75,1.9571428571400002,7.55714285714,31.7,41.9,30
1992-08-19,0.1146,0.1368,0.18558570000000002,68.22,299.491428571,61.6,82.3171428571,2.2428571428599997,6.92857142857,33.9,42.7,52
1992-08-26,0.0875,0.0817,0.1799429,27.7,300.067142857,28.9,78.86428571430001,2.4285714285699997,6.82857142857,32.2,3.1,59
1992-09-02,0.1057375,0.2175,0.12401430000000001,61.55,300.108571429,34.36,79.2042857143,2.2,7.485714285710001,34.4,6.5,67
1992-09-09,0.123975,0.1768,0.2357429,21.34,299.727142857,87.2,79.93,2.02857142857,6.54285714286,32.2,23.6,65
1992-09-16,0.0519,0.07226667,0.1775714,41.32,299.978571429,32.6,79.52571428569999,2.34285714286,7.085714285710001,32.8,28.9,74
1992-09-23,0.1435,0.1435,0.1984,95.55,299.292857143,116.79,83.7,2.04285714286,7.24285714286,32.8,60.9,70
1992-09-30,0.1972,0.12715,0.15813329999999998,97.7,299.624285714,34.2,81.2971428571,2.3,7.22857142857,33.3,22.6,61
1992-10-07,0.137225,0.10745,0.17718570000000003,23.1,300.267142857,19.4,79.7371428571,3.25714285714,7.8,35.0,0.0,53
1992-10-14,0.3371,0.1979,0.19458570000000003,18.95,300.11857142900004,11.3,77.83428571430001,2.97142857143,7.114285714289999,33.3,8.0,76
1992-10-21,-0.0156,0.0312,0.1042167,12.18,299.848571429,21.5,77.8757142857,2.51428571429,7.45714285714,32.8,11.9,61
1992-10-28,0.1242,0.1254,0.1156,80.58,299.802857143,25.0,78.91,3.02857142857,7.285714285710001,33.3,18.6,57
1992-11-04,0.0866,0.1209667,0.2244429,64.0,299.80714285700003,27.7,81.0528571429,2.0714285714300003,7.7,33.3,14.2,44
1992-11-11,0.11800000000000001,0.1422,0.08945,40.06,299.041428571,31.72,79.0128571429,2.41428571429,6.84285714286,31.7,161.0,34
1992-11-18,0.0764,0.05613333,0.1343714,43.44,298.342857143,49.97,80.2557142857,1.8285714285699999,7.0,31.1,26.1,47
1992-11-25,0.0971,0.10263330000000001,0.16171429999999998,47.42,298.664285714,128.1,85.5871428571,2.0,6.77142857143,32.8,46.3,60
1992-12-02,0.1083,0.074125,0.17506670000000002,53.73,298.46,54.8,82.6485714286,1.92857142857,7.24285714286,31.1,62.6,60
1992-12-09,0.0547,0.1099,0.1981571,86.28,298.734285714,19.23,78.3114285714,2.1142857142900002,7.185714285710001,31.1,9.4,53
1992-12-16,0.022309999999999997,0.066425,0.19234289999999998,0.0,298.285714286,24.94,76.66142857140001,2.6428571428599996,8.385714285710002,32.2,47.5,36
1992-12-23,-0.01008,0.06821667,0.0869,0.0,297.172857143,23.8,76.7571428571,1.92857142857,6.485714285709999,29.4,5.5,31
1993-01-08,0.02835,0.04366667,0.07865714,46.79,297.467142857,41.9,81.8785714286,1.9,6.5,30.6,28.0,32
1993-01-15,0.03006667,0.03785,0.13188570000000002,0.0,297.331428571,27.5,77.1442857143,1.7142857142899999,7.04285714286,28.3,23.5,28
1993-01-22,0.048100000000000004,0.11345,0.22605709999999998,0.0,297.401428571,11.2,76.9842857143,2.2,7.12857142857,30.0,6.6,33
1993-01-29,0.06613333,0.05705,0.1303667,0.0,296.967142857,21.8,77.8628571429,2.08571428571,6.1,28.9,15.2,33
1993-02-05,0.047425,0.02253333,0.09238571,75.97,297.624285714,26.3,80.61,2.08571428571,7.6428571428600005,31.7,9.4,35
1993-02-12,0.2738,0.0558,0.2020857,0.0,296.594285714,14.3,79.8257142857,2.34285714286,6.74285714286,30.0,2.1,22
1993-02-19,0.11086669999999998,0.173375,0.2375143,14.71,297.76,7.2,76.5328571429,2.48571428571,8.1,31.7,2.8,13
1993-02-26,0.14266669999999998,0.1339,0.26992859999999996,0.0,296.768571429,21.5,76.2171428571,2.77142857143,7.3,32.2,5.5,13
1993-03-05,0.1744667,0.1338,0.1584833,0.0,297.01428571400004,1.8,73.2257142857,2.8,8.15714285714,30.0,2.3,21
1993-03-12,0.09403333,0.214,0.20357139999999999,0.0,296.42571428599996,2.7,70.6457142857,2.48571428571,7.614285714289999,29.4,2.5,17
1993-03-19,-0.0411,-0.0436,0.17253329999999997,9.68,297.85571428599997,10.5,77.7842857143,2.6857142857099996,8.47142857143,33.3,0.5,11
1993-03-26,0.03225,0.10315,0.1850143,27.0,297.585714286,13.0,76.8485714286,2.2571428571400003,7.52857142857,31.1,12.8,8
1993-04-02,0.1194,0.08853333,0.1404714,0.0,297.34,20.27,80.7957142857,2.1428571428599996,7.62857142857,32.8,4.1,8
1993-04-09,0.051799999999999985,0.0423,0.19036670000000003,7.49,297.745714286,14.2,78.5642857143,2.3571428571400004,7.714285714289999,32.8,4.6,6
1993-04-16,-0.0158,0.01885,0.068,19.74,298.012857143,23.2,78.9614285714,3.0571428571399997,7.785714285710001,33.3,11.7,6
1993-04-23,0.0828,0.0788,0.13345710000000002,114.85,297.528571429,63.49,81.27142857140001,2.77142857143,7.44285714286,31.1,8.4,7
1993-04-30,0.08122499999999999,0.09256667,0.13151670000000001,33.35,298.591428571,34.3,81.6557142857,2.47142857143,8.385714285710002,32.8,28.3,12
1993-05-07,0.07965,0.06415,0.1547429,37.35,298.152857143,40.7,84.0814285714,1.8571428571400002,6.27142857143,32.2,114.3,17
1993-05-14,0.07305,0.052000000000000005,0.1074857,34.9,297.671428571,142.4,84.52142857140001,2.5,6.0,31.1,18.3,10
1993-05-21,0.1769,0.0901,0.1792,14.84,298.604285714,55.67,82.4357142857,2.2142857142900003,7.22857142857,33.9,4.6,10
1993-05-28,0.01645,0.10485,0.05147143,78.17,299.364285714,100.2,85.3985714286,2.27142857143,7.22857142857,33.9,32.1,18
1993-06-04,0.00305,0.0506,0.19818570000000002,62.2,298.844285714,93.2,86.9,1.9142857142900003,5.88571428571,31.1,58.3,19
1993-06-11,0.1206,0.06455,0.1537714,8.48,300.658571429,20.2,80.6157142857,2.6428571428599996,7.385714285710001,34.4,1.3,12
1993-06-18,0.079,0.0785,0.2209429,30.65,299.184285714,55.5,81.4928571429,2.1,6.78571428571,32.2,57.9,22
1993-06-25,0.0374,0.13996670000000003,0.1681714,93.75,299.521428571,74.0,82.6085714286,1.9571428571400002,6.97142857143,33.3,60.4,12
1993-07-02,0.1237667,0.1522,0.2154143,8.49,299.70428571400004,27.5,82.8328571429,2.0,5.87142857143,32.8,7.2,21
1993-07-09,0.0689,0.09593333,0.1463429,37.28,299.567142857,72.8,81.1485714286,1.8857142857099998,6.84285714286,32.8,21.0,18
1993-07-16,0.0375,0.09203333,0.18335710000000002,73.94,299.58428571400003,67.7,81.2157142857,2.5,6.52857142857,32.2,92.2,16
1993-07-23,0.1204,0.1826,0.16658570000000003,4.81,299.891428571,29.4,79.15,2.47142857143,7.25714285714,33.3,13.0,16
1993-07-30,0.08285,0.10608,0.12255,78.03,299.237142857,109.0,85.55142857140001,1.75714285714,6.0,32.2,71.4,22
1993-08-06,0.092225,0.1488,0.2467667,12.38,300.062857143,12.6,82.8828571429,2.3571428571400004,6.58571428571,32.8,0.8,17
1993-08-13,0.1016,0.1401,0.2187,7.25,300.12142857099997,21.8,81.0128571429,2.32857142857,6.25714285714,32.8,18.1,25
1993-08-20,0.0969,0.04966667,0.1970714,106.83,299.67,62.7,83.0757142857,2.22857142857,6.42857142857,33.9,12.7,23
1993-08-27,0.10885,0.24925,0.2105714,1.36,299.918571429,26.9,81.7271428571,2.3142857142900004,7.614285714289999,33.3,17.1,12
1993-09-03,0.0979,0.1581,0.1638571,30.85,299.97571428599997,34.4,79.6285714286,2.1857142857099996,7.32857142857,32.8,28.8,25
1993-09-10,0.1121,0.0688,0.0596,43.26,299.761428571,42.1,80.6842857143,2.17142857143,7.885714285710001,32.8,43.4,28
1993-09-17,0.1199,0.0971,0.20444289999999998,14.42,299.672857143,50.0,81.7942857143,1.9428571428599999,7.37142857143,32.8,23.1,27
1993-09-24,0.0054,0.063525,0.1392833,71.36,300.067142857,57.9,80.9014285714,2.6857142857099996,6.92857142857,32.8,8.7,18
1993-10-01,0.034,0.0517,0.0726,72.86,299.885714286,76.0,82.61,2.17142857143,6.985714285710001,32.8,26.7,23
1993-10-08,0.1213,0.0705,0.1886286,27.62,299.591428571,55.36,83.8414285714,1.6714285714300001,7.5,33.3,16.8,23
1993-10-15,0.1317,0.0645,0.20515,8.01,299.957142857,35.8,81.1028571429,1.9428571428599999,6.985714285710001,32.2,27.0,29
1993-10-22,0.0129,0.08940000000000001,0.1347,0.0,300.18142857099997,17.0,78.8071428571,2.2571428571400003,7.7,33.3,6.4,38
1993-10-29,0.11699999999999999,0.1143,0.2702,70.07,299.788571429,57.6,80.3985714286,1.9571428571400002,7.1428571428600005,32.8,25.4,36
1993-11-05,-0.020950000000000052,0.1406667,0.17761670000000002,0.0,299.885714286,16.1,79.5042857143,2.3,7.24285714286,32.8,4.1,43
1993-11-12,-0.1589,0.0493,0.08248333,0.0,299.228571429,25.6,79.0371428571,2.27142857143,7.72857142857,32.8,6.7,46
1993-11-19,0.17315,0.013825,0.17535,12.5,298.845714286,70.71,80.3771428571,1.8428571428599998,6.77142857143,31.7,48.8,31
1993-11-26,0.1071,0.1818,0.2600571,91.81,298.571428571,118.1,82.1542857143,1.87142857143,6.6,31.7,46.4,25
1993-12-03,0.3572667,-0.0095,0.12734,6.09,298.627142857,25.7,80.4657142857,2.01428571429,8.34285714286,33.3,5.5,40
1993-12-10,0.03353334999999996,-0.038583334999999996,0.1632333,5.29,298.218571429,43.4,80.3028571429,2.3571428571400004,7.085714285710001,30.6,20.8,31
1993-12-17,-0.2902,-0.06766667,0.1682857,14.82,298.565714286,28.6,76.8542857143,2.45714285714,7.8571428571399995,31.1,7.7,38
1993-12-24,-0.0237,-0.02115,0.1181143,42.62,298.218571429,33.6,78.8285714286,2.55714285714,6.82857142857,31.7,37.6,30
1994-01-01,-0.07554,0.00042333333333333806,0.105779052,5.25,298.527142857,3.4,78.0185714286,2.44285714286,8.2,32.8,0.3,22
1994-01-08,-0.1209,0.0193,0.09498571,12.6,298.19142857099996,19.5,75.7428571429,2.05714285714,6.74285714286,29.4,41.0,31
1994-01-15,0.1435,0.0974,0.25425,0.0,297.59,19.4,79.15,2.2142857142900003,7.27142857143,29.4,13.4,26
1994-01-22,0.0741,0.16643329999999998,0.151,0.0,297.912857143,16.4,75.9842857143,2.1142857142900002,7.42857142857,30.0,26.6,35
1994-01-29,0.0912,-0.11626669999999999,0.1635571,0.0,297.571428571,19.04,78.38142857140001,2.32857142857,7.04285714286,29.4,9.7,36
1994-02-05,0.2588,0.2112,0.22005709999999998,0.0,297.588571429,21.8,76.8257142857,2.2,7.1,30.0,3.6,39
1994-02-12,0.0882,0.11699999999999999,0.0768,0.0,297.515714286,11.5,75.31,1.74285714286,7.52857142857,29.4,9.1,25
